Current Education Level,Stream / Specialization,Latest Grade / CGPA,Technical / Hard Skills,Soft Skills,Personality Type,"Salary Expectation (Annual, in INR)",Certifications Obtained,Preferred Work Environment,Learning Style,Open to Relocating,Willingness to Pursue Higher Studies,Recommended Career Path
BBA,Marketing,7.12,"Digital Marketing, SEO, Social Media Management","Creativity, Leadership",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
B.Tech,Mechanical Engineering,7.3,"SolidWorks, AutoCAD, MATLAB","Teamwork, Problem-Solving",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Civil Engineer
M.Tech,Data Science,8.54,"SQL, TensorFlow, R, Scikit-learn, Python","Critical Thinking, Problem-Solving",Ambivert,12+ LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,Data Scientist
MBA,Commerce,7.76,"Financial Modeling, Tableau, SQL, MS Excel","Analytical Skills, Attention to Detail",Extrovert,8-12 LPA,No Certification,I prefer working alone,Read/Write,Maybe,Yes,Financial Analyst
B.Des,Fine Arts,6.6,"Adobe Illustrator, Figma","Attention to Detail, Creativity",Introvert,4-8 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,No,UI/UX Designer
B.Tech,Mechanical Engineering,8.71,"MATLAB, AutoCAD, SolidWorks","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Computer Science,8.07,"JavaScript, SQL, Git, Java, Python","Problem-Solving, Teamwork",Introvert,12+ LPA,Coursera - Python for Everybody,I like a mix of both,Visual,Yes,No,Data Scientist
B.Des,Fine Arts,7.71,"Adobe Photoshop, Adobe Illustrator, Figma","Attention to Detail, Creativity",Ambivert,4-8 LPA,No Certification,I like a mix of both,Kinesthetic,No,Yes,Graphic Designer
M.Tech,AI & ML,9.66,"Python, Computer Vision, PyTorch, TensorFlow","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
B.Tech,Computer Science,8.55,"SQL, JavaScript, Python","Teamwork, Problem-Solving",Introvert,8-12 LPA,Coursera - Python for Everybody,I prefer working alone,Kinesthetic,Maybe,No,Software Developer
B.Tech,Human-Computer Interaction,9.1,"Adobe XD, Sketch","Creativity, Empathy",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,No,No,Graphic Designer
B.Com,Commerce,8.35,"Tableau, MS Excel, Financial Modeling","Analytical Skills, Attention to Detail",Ambivert,8-12 LPA,CFA,I prefer working alone,Read/Write,Maybe,Yes,Financial Analyst
M.Tech,Computer Science,9.66,"Scikit-learn, SQL","Problem-Solving, Critical Thinking",Ambivert,12+ LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,No,Data Scientist
B.Tech,Computer Science,8.1,"Python, JavaScript, Java, SQL","Problem-Solving, Teamwork",Ambivert,12+ LPA,Coursera - Python for Everybody,I prefer working alone,Kinesthetic,Yes,No,Software Developer
Diploma,Mechanical Engineering,7.77,"AutoCAD, SolidWorks","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Civil Engineer
M.Tech,AI & ML,9.0,"TensorFlow, NLP","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Computer Science,8.95,"Git, SQL, Python, JavaScript, Java","Problem-Solving, Teamwork",Introvert,8-12 LPA,No Certification,I prefer working alone,Kinesthetic,Yes,No,Software Developer
B.Tech,Computer Science,9.19,"Git, Java","Teamwork, Problem-Solving",Introvert,12+ LPA,Coursera - Python for Everybody,I like a mix of both,Kinesthetic,Yes,No,Software Developer
B.Des,Fine Arts,6.83,"Adobe Illustrator, Adobe Photoshop","Creativity, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Kinesthetic,No,No,UI/UX Designer
MBA,Commerce,8.71,"Tableau, SQL, MS Excel, Financial Modeling","Attention to Detail, Analytical Skills",Extrovert,4-8 LPA,No Certification,I prefer working alone,Visual,No,No,Business Analyst
M.Tech,Computer Science,8.52,"Scikit-learn, Python, SQL","Critical Thinking, Problem-Solving",Ambivert,12+ LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,No,Data Scientist
B.Tech,Human-Computer Interaction,8.56,"Adobe XD, Sketch, Figma, User Research","Problem-Solving, Creativity",Ambivert,12+ LPA,No Certification,I like a mix of both,Visual,No,No,UI/UX Designer
M.Tech,Computer Science,9.79,"PyTorch, Python, TensorFlow, Computer Vision","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
M.Tech,AI & ML,9.61,"NLP, Computer Vision, TensorFlow","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
MBA,Business Administration,7.89,"Digital Marketing, SEO, Social Media Management","Communication, Creativity",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Maybe,No,Social Media Manager
BBA,Business Administration,7.52,"Google Analytics, SEO, Social Media Management","Communication, Creativity",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
B.A.,Fine Arts,6.77,"Adobe Illustrator, Figma, Adobe Photoshop","Creativity, Attention to Detail",Introvert,Less than 4 LPA,No Certification,I prefer working alone,Kinesthetic,No,Yes,Graphic Designer
MBA,Commerce,9.08,"MS Excel, Tableau","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,CFA,I prefer working alone,Read/Write,No,Yes,Financial Analyst
M.Tech,AI & ML,9.35,"Computer Vision, PyTorch, NLP","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Com,Finance,8.1,"SQL, Financial Modeling, MS Excel","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Read/Write,Maybe,No,Business Analyst
MBA,Finance,8.14,"SQL, MS Excel, Financial Modeling, Tableau","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,No Certification,I prefer working alone,Visual,No,Yes,Financial Analyst
B.Des,Graphic Design,8.13,"Adobe Photoshop, Adobe Illustrator, Figma","Attention to Detail, Creativity",Introvert,Less than 4 LPA,No Certification,I like a mix of both,Visual,No,No,Graphic Designer
M.Tech,AI & ML,9.36,"Computer Vision, TensorFlow, PyTorch, Python, NLP","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
BBA,Business Administration,7.46,"Google Analytics, SEO, Digital Marketing, Social Media Management","Communication, Leadership",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Maybe,No,Social Media Manager
B.Tech,Computer Science,8.6,"Python, JavaScript, SQL, Java, Git","Problem-Solving, Teamwork",Ambivert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,Software Developer
B.Tech,Mechanical Engineering,7.32,"SolidWorks, MATLAB","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
M.Tech,Computer Science,9.84,"Computer Vision, Python, NLP, PyTorch","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
M.Tech,Computer Science,8.95,"SQL, Python, TensorFlow","Problem-Solving, Critical Thinking",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,AI Specialist
B.Tech,Computer Science,9.65,"R, TensorFlow, Scikit-learn, SQL, Python","Problem-Solving, Critical Thinking",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Visual,Yes,Yes,Data Scientist
MBA,Finance,7.55,"Tableau, Financial Modeling, MS Excel, SQL","Analytical Skills, Attention to Detail",Extrovert,8-12 LPA,CFA,I prefer working alone,Visual,Maybe,Yes,Business Analyst
B.Com,Commerce,7.63,"Tableau, MS Excel","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,No Certification,I prefer working alone,Visual,Maybe,Yes,Business Analyst
B.Tech,Computer Science,9.19,"Scikit-learn, SQL, R, TensorFlow","Problem-Solving, Critical Thinking",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Visual,Yes,No,Data Scientist
B.Des,Fine Arts,8.03,"Adobe Illustrator, Adobe Photoshop","Attention to Detail, Creativity",Introvert,Less than 4 LPA,No Certification,I prefer working alone,Visual,No,No,Graphic Designer
B.Tech,Computer Science,8.65,"SQL, Scikit-learn, TensorFlow, Python, R","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Visual,Yes,Yes,Data Scientist
MBA,Marketing,7.26,"Google Analytics, Social Media Management, Digital Marketing, SEO","Creativity, Leadership",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
B.Tech,Graphic Design,8.78,"User Research, Figma, Adobe XD, Sketch","Creativity, Empathy",Ambivert,8-12 LPA,No Certification,I like a mix of both,Visual,No,No,UI/UX Designer
M.Tech,Data Science,9.42,"Scikit-learn, Python, R, SQL","Critical Thinking, Problem-Solving",Ambivert,12+ LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,Data Scientist
B.Tech,Human-Computer Interaction,8.41,"User Research, Adobe XD, Sketch","Problem-Solving, Creativity",Ambivert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
B.Com,Finance,8.04,"MS Excel, SQL, Financial Modeling, Tableau","Attention to Detail, Analytical Skills",Extrovert,4-8 LPA,No Certification,I prefer working alone,Visual,Maybe,No,Financial Analyst
MBA,Commerce,7.76,"MS Excel, SQL, Tableau, Financial Modeling","Attention to Detail, Analytical Skills",Extrovert,4-8 LPA,No Certification,I prefer working alone,Read/Write,No,Yes,Financial Analyst
B.Des,Graphic Design,6.52,"Adobe Photoshop, Figma","Creativity, Attention to Detail",Introvert,4-8 LPA,Adobe Certified Expert (ACE),I prefer working alone,Visual,No,No,Graphic Designer
B.A.,Graphic Design,8.47,"Adobe Illustrator, Figma, Adobe Photoshop","Creativity, Attention to Detail",Ambivert,4-8 LPA,Adobe Certified Expert (ACE),I prefer working alone,Kinesthetic,No,No,UI/UX Designer
B.Tech,Data Science,8.51,"SQL, Scikit-learn, TensorFlow","Critical Thinking, Problem-Solving",Ambivert,8-12 LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
MBA,Business Administration,8.37,"SEO, Social Media Management, Google Analytics","Leadership, Communication",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
B.Des,Fine Arts,8.34,"Figma, Adobe Photoshop, Adobe Illustrator","Attention to Detail, Creativity",Ambivert,Less than 4 LPA,Adobe Certified Expert (ACE),I prefer working alone,Kinesthetic,No,Yes,Graphic Designer
B.Des,Human-Computer Interaction,7.51,"User Research, Figma, Sketch, Adobe XD","Empathy, Problem-Solving",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,No,No,UI/UX Designer
B.A.,Fine Arts,8.24,"Adobe Photoshop, Adobe Illustrator, Figma","Attention to Detail, Creativity",Ambivert,4-8 LPA,No Certification,I like a mix of both,Kinesthetic,No,No,Graphic Designer
Diploma,Mechanical Engineering,7.28,"AutoCAD, MATLAB, SolidWorks","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Com,Finance,8.71,"Financial Modeling, SQL, Tableau, MS Excel","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,CFA,I prefer working alone,Read/Write,Maybe,No,Financial Analyst
BBA,Marketing,8.14,"Digital Marketing, Google Analytics, Social Media Management, SEO","Leadership, Communication",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
MBA,Marketing,7.05,"SEO, Social Media Management","Creativity, Communication",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
M.Tech,Computer Science,9.79,"PyTorch, Computer Vision","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
MBA,Finance,8.44,"Financial Modeling, MS Excel, Tableau, SQL","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,CFA,I prefer working alone,Visual,No,Yes,Financial Analyst
B.Tech,Human-Computer Interaction,7.9,"Figma, User Research, Adobe XD, Sketch","Empathy, Creativity",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,No,No,UI/UX Designer
BBA,Business Administration,7.5,"SEO, Google Analytics","Communication, Leadership",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
B.Tech,Mechanical Engineering,7.77,"AutoCAD, MATLAB, SolidWorks","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Com,Finance,7.65,"Financial Modeling, Tableau, SQL, MS Excel","Analytical Skills, Attention to Detail",Ambivert,8-12 LPA,No Certification,I prefer working alone,Visual,No,No,Financial Analyst
B.Tech,Data Science,9.34,"R, TensorFlow","Problem-Solving, Critical Thinking",Ambivert,12+ LPA,IBM Data Science,I prefer working alone,Visual,Yes,No,Data Scientist
Diploma,Mechanical Engineering,7.52,"AutoCAD, SolidWorks","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Com,Finance,8.55,"Financial Modeling, MS Excel, Tableau, SQL","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,No Certification,I prefer working alone,Read/Write,No,No,Financial Analyst
M.Tech,AI & ML,9.39,"NLP, Computer Vision, TensorFlow","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
B.Tech,Mechanical Engineering,8.48,"SolidWorks, AutoCAD, MATLAB","Teamwork, Problem-Solving",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
M.Tech,Computer Science,8.61,"Python, SQL, Scikit-learn","Critical Thinking, Problem-Solving",Ambivert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
Diploma,Mechanical Engineering,7.51,"MATLAB, AutoCAD, SolidWorks","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
MBA,Business Administration,7.91,"SEO, Google Analytics, Digital Marketing, Social Media Management","Communication, Creativity",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
B.Tech,Computer Science,9.11,"Java, Python, Git","Problem-Solving, Teamwork",Introvert,8-12 LPA,Coursera - Python for Everybody,I like a mix of both,Kinesthetic,Yes,No,Data Scientist
B.Des,Human-Computer Interaction,7.53,"Sketch, User Research, Figma, Adobe XD","Creativity, Problem-Solving",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,No,No,Graphic Designer
Diploma,Mechanical Engineering,8.06,"MATLAB, SolidWorks","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Civil Engineer
B.Des,Graphic Design,8.28,"Figma, Adobe Photoshop, Adobe Illustrator","Creativity, Attention to Detail",Ambivert,4-8 LPA,Adobe Certified Expert (ACE),I prefer working alone,Kinesthetic,No,Yes,UI/UX Designer
M.Tech,Computer Science,9.35,"SQL, Scikit-learn, TensorFlow","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
Diploma,Mechanical Engineering,8.4,"MATLAB, AutoCAD","Teamwork, Problem-Solving",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.A.,Graphic Design,8.04,"Figma, Adobe Photoshop","Creativity, Attention to Detail",Introvert,Less than 4 LPA,No Certification,I like a mix of both,Kinesthetic,No,Yes,Graphic Designer
MBA,Business Administration,8.1,"SEO, Digital Marketing","Creativity, Communication",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Visual,Maybe,No,Social Media Manager
B.Des,Human-Computer Interaction,7.72,"Adobe XD, Figma, User Research","Empathy, Creativity",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,Yes,No,UI/UX Designer
B.Tech,Mechanical Engineering,8.8,"SolidWorks, MATLAB","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
M.Tech,Computer Science,9.42,"NLP, TensorFlow","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
MBA,Finance,7.68,"Tableau, Financial Modeling, SQL","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Visual,No,Yes,Financial Analyst
B.Tech,Computer Science,8.7,"R, Python","Critical Thinking, Problem-Solving",Introvert,12+ LPA,IBM Data Science,I prefer working alone,Visual,Yes,No,Data Scientist
B.Tech,Computer Science,9.09,"Java, Git, Python, SQL","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I like a mix of both,Kinesthetic,Maybe,No,Data Scientist
M.Tech,Computer Science,9.67,"NLP, Python, TensorFlow, PyTorch","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
Diploma,Mechanical Engineering,7.17,"AutoCAD, SolidWorks, MATLAB","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
MBA,Finance,7.78,"SQL, MS Excel","Attention to Detail, Analytical Skills",Extrovert,4-8 LPA,No Certification,I prefer working alone,Visual,Maybe,No,Financial Analyst
B.Tech,Mechanical Engineering,8.18,"SolidWorks, MATLAB, AutoCAD","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
M.Tech,Data Science,9.4,"Scikit-learn, TensorFlow, SQL, Python","Critical Thinking, Problem-Solving",Introvert,12+ LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,Data Scientist
